Parcela;Especie;NP;Fuste;CAP;obs
12;Indeterminada;1;1;49,1;
12;Indeterminada;2;1;21;
12;Indeterminada;3;1;14,1;
12;Indeterminada;4;1;17,3;
12;Indeterminada;5;1;13;
12;Indeterminada;6;1;35;
12;Indeterminada;6;2;31,2;
12;Indeterminada;7;1;10,9;
12;Indeterminada;8;1;22,1;
12;Indeterminada;9;1;20,9;
12;Indeterminada;9;2;17,9;
12;Indeterminada;10;1;10;
12;Indeterminada;11;1;16,5;
12;Indeterminada;12;1;13,7;
12;Indeterminada;13;1;18,8;
12;Indeterminada;14;1;12,2;
12;Indeterminada;15;1;12,8;
12;Indeterminada;16;1;19,5;
12;Indeterminada;17;1;12,1;
12;Indeterminada;18;1;10;
12;Indeterminada;19;1;16,7;
12;Indeterminada;20;1;9,9;
12;Indeterminada;21;1;11,1;
12;Indeterminada;22;1;13,9;
12;Indeterminada;23;1;22,8;
12;Indeterminada;23;2;21;
12;Indeterminada;24;1;18,9;
12;Indeterminada;25;1;12;
12;Indeterminada;26;1;15,6;
12;Indeterminada;27;1;19,1;
12;Indeterminada;28;1;29,3;
12;Indeterminada;28;2;25,2;
12;Indeterminada;28;3;33,1;
12;Indeterminada;29;1;16;
12;Indeterminada;30;1;14,9;
12;Indeterminada;31;1;18,1;
12;Indeterminada;32;1;10,7;
12;Indeterminada;33;1;26;
12;Indeterminada;34;1;16,5;
12;Indeterminada;35;1;11,5;
12;Indeterminada;36;1;19,8;
12;Indeterminada;37;1;11,9;
12;Indeterminada;38;1;13,7;
12;Indeterminada;39;1;11,1;
12;Indeterminada;40;1;17,8;
12;Indeterminada;40;1;20;
12;Indeterminada;40;2;12;
12;Indeterminada;41;1;15;
12;Indeterminada;42;1;17;
12;Indeterminada;43;1;17,1;
12;Indeterminada;44;1;17,7;
12;Indeterminada;45;1;11;
12;Indeterminada;46;1;17;
12;Indeterminada;47;1;19,9;
12;Indeterminada;48;1;15;
12;Indeterminada;49;1;14;
12;Indeterminada;50;1;17;
12;Indeterminada;51;1;16;
12;Indeterminada;52;1;;18
12;Indeterminada;53;1;13;
12;Indeterminada;54;1;15,5;
12;Indeterminada;55;1;15,2;
12;Indeterminada;56;1;11;
12;Indeterminada;57;1;10;
12;Indeterminada;58;1;11,5;
12;Indeterminada;59;1;13;
12;Indeterminada;60;1;13;
12;Indeterminada;61;1;18,2;
12;Indeterminada;61;2;9,9;
12;Indeterminada;62;1;15;
12;Indeterminada;62;2;12;
12;Indeterminada;63;1;15,9;
12;Indeterminada;64;1;11;
12;Indeterminada;65;1;12;
12;Indeterminada;66;1;12;
12;Indeterminada;67;1;17,5;
12;Indeterminada;67;2;11;
12;Indeterminada;67;3;16;
12;Indeterminada;68;1;13,9;
12;Indeterminada;69;1;23;
12;Indeterminada;70;1;11;
12;Indeterminada;71;1;19;
12;Indeterminada;72;1;20,8;
12;Indeterminada;73;1;16;
12;Indeterminada;73;1;16;
12;Indeterminada;74;1;13,2;
12;Indeterminada;74;1;13,2;
12;Indeterminada;75;1;16,5;
12;Indeterminada;75;1;16,5;
12;Indeterminada;76;1;28;
12;Indeterminada;76;1;28;
12;Indeterminada;77;1;11;
12;Indeterminada;77;1;11;
12;Indeterminada;78;1;13;
12;Indeterminada;78;1;13;
12;Indeterminada;79;1;11;
12;Indeterminada;79;1;11;
12;Indeterminada;80;1;17;
12;Indeterminada;80;1;17;
12;Indeterminada;81;1;29;
12;Indeterminada;81;1;29;
12;Indeterminada;82;1;11,2;
12;Indeterminada;82;1;11,2;
12;Protium heptaphyllum;1346;1;12,6;
12;Indeterminada;1515;1;14;
12;Indeterminada;1515;1;14;
12;Indeterminada;1516;1;10,5;
12;Indeterminada;1516;1;10,5;
12;Indeterminada;1517;1;11;
12;Indeterminada;1517;1;11;
12;Indeterminada;1519;1;18;
12;Indeterminada;1519;1;18;
12;Indeterminada;1520;1;13;
12;Indeterminada;1520;1;13;
12;Indeterminada;1523;1;15;
12;Indeterminada;1523;1;15;
12;Indeterminada;1537;1;;morta
12;Indeterminada;1537;1;11;
12;Indeterminada;1541;1;18,8;
12;Indeterminada;1542;1;15;
12;Indeterminada;1548;1;19,5;
12;Indeterminada;1550;1;12,6;
12;Indeterminada;1550;1;9,9;
12;Gomidesia sellowiana;1552;1;10,9;
12;Eremanthus incanus;1555;1;17,1;
12;Eremanthus incanus;1555;1;17,1;
12;Xylopia sericea;1560;1;23;
12;Xylopia sericea;1560;1;23;
12;Indeterminada;1561;1;15,7;
12;Swartzia apetala;1562;1;11,8;
12;Indeterminada;1564;1;12;
12;Swartzia apetala;1565;1;16,6;
12;Indeterminada;1573;1;11;
12;Fabaceae sp.1;1586;1;12,9;
12;Indeterminada;1587;1;11;
12;Indeterminada;1589;1;10,3;
12;Indeterminada;1590;1;10,9;
12;Indeterminada;1592;1;12,2;
12;Indeterminada;1595;1;13,3;
12;Indeterminada;1599;1;11;
12;Indeterminada;1601;1;13,9;
12;Indeterminada;1606;1;14;
12;Indeterminada;1609;1;11,9;
12;Indeterminada;1609;2;11,1;
12;Indeterminada;1610;1;12,2;
12;Indeterminada;1611;1;12,5;
12;Indeterminada;1613;1;15,1;
12;Indeterminada;1614;1;18,5;
12;Lauraceae sp. 2;1621;1;17;
12;Croton f.;1622;1;18;
12;Indeterminada;1623;1;15,5;
12;Indeterminada;1625;1;11,6;
12;Indeterminada;1627;1;;morta
12;Tibouchina candoleana;1629;1;18;
12;Tibouchina candoleana;1629;1;18,8;
12;Tibouchina candoleana;1629;1;18;
12;Indeterminada;1632;1;19,9;
12;Indeterminada;1634;1;15,7;
12;Fabaceae sp.1;1635;1;38,2;
12;Erythroxylum pelleterianum;1639;1;;morta
12;Indeterminada;1641;1;10,3;
12;Swartzia apetala;1644;1;13,1;
12;Tibouchina candoleana;1645;1;;morta
12;Indeterminada;1647;1;10,6;
12;Indeterminada;1648;1;13,1;
12;Indeterminada;1649;1;11;
12;tachigali rugosa;1653;1;11;
12;Miconia trianea;1654;1;14,5;
12;Indeterminada;1657;1;9,9;
12;Indeterminada;1657;2;12;
12;Swartzia apetala;1658;1;12,9;
12;Indeterminada;1659;1;12;
12;Casearia sylvestris;1660;1;17,7;
12;Tibouchina candoleana;1663;1;13;
12;Indeterminada;1666;1;15,9;
12;Indeterminada;1667;1;11,9;
12;Indeterminada;1667;1;10,8;
12;Indeterminada;1680;1;10;
12;Indeterminada;1687;1;12;
12;Anacardiaceae1;1689;1;18,9;
12;Indeterminada;1690;1;19,5;
12;Indeterminada;1691;1;9,9;
12;Indeterminada;1691;1;11,5;
12;Indeterminada;1692;1;15,9;
12;Indeterminada;1693;1;13,8;
12;Cupania vernalis ;1694;1;15,3;
12;Casearia sylvestris;1695;1;16;
12;Lauraceae sp. 2;1696;1;;morta
12;Indeterminada;1699;1;10,5;
12;Indeterminada;1699;1;;morta
12;Lauraceae sp. 2;1700;1;16;
12;Eremanthus incanus;1702;1;19,8;
12;Eremanthus incanus;1704;1;;morta
12;Indeterminada;1707;1;;morta
12;Indeterminada;1708;1;16,8;
12;Indeterminada;1709;1;22,2;
13;Indeterminada;83;1;10,6;
13;Indeterminada;84;1;10,7;
13;Indeterminada;85;1;10,5;
13;Indeterminada;86;1;9,6;
13;Indeterminada;87;1;20,1;
13;Indeterminada;88;1;9,8;
13;Indeterminada;89;1;23,2;
13;Indeterminada;90;1;29,1;
13;Indeterminada;90;2;14;
13;Indeterminada;90;3;34;
13;Indeterminada;90;4;17;
13;Indeterminada;91;1;18;
13;Indeterminada;92;1;9,6;
13;Indeterminada;93;1;12;
13;Indeterminada;94;1;17,3;
13;Indeterminada;95;1;13,8;
13;Indeterminada;96;1;16,8;
13;Indeterminada;97;1;13,2;
13;Indeterminada;98;1;15,2;
13;Indeterminada;99;1;16;
13;Indeterminada;100;1;11,4;
13;Indeterminada;101;1;4,8;
13;Indeterminada;102;1;11,3;
13;Indeterminada;103;1;12,6;
13;Indeterminada;104;1;10;
13;Indeterminada;105;1;19,8;
13;Indeterminada;106;1;10,3;
13;Indeterminada;107;1;16,5;
13;Indeterminada;108;1;20,4;
13;Indeterminada;109;1;29,8;
13;Indeterminada;111;1;9,7;
13;Indeterminada;112;1;18;
13;Indeterminada;112;2;11,5;
13;Indeterminada;112;3;22;
13;Indeterminada;112;4;19;
13;Indeterminada;113;1;15,1;
13;Indeterminada;114;1;14,9;
13;Indeterminada;115;1;13;
13;Indeterminada;116;1;11;
13;Indeterminada;117;1;9,9;
13;Indeterminada;118;1;17,5;
13;Indeterminada;119;1;18;
13;Indeterminada;119;2;14,3;
13;Indeterminada;119;3;29,5;
13;Indeterminada;120;1;18,5;
13;Indeterminada;121;1;11;
13;Indeterminada;122;1;10;
13;Indeterminada;123;3;13;
13;Indeterminada;123;1;14;
13;Indeterminada;123;2;12;
13;Indeterminada;124;1;12;
13;Indeterminada;125;1;12,3;
13;Indeterminada;125;2;20;
13;Indeterminada;126;1;14;
13;Indeterminada;126;2;13,5;
13;Indeterminada;127;1;13,9;
13;Indeterminada;128;1;17;
13;Indeterminada;1715;1;15;
13;Indeterminada;1715;1;15,8;
13;Indeterminada;1717;1;12;
13;Indeterminada;1718;1;12,7;
13;Indeterminada;1718;1;11,8;
13;Indeterminada;1719;1;11,2;
13;Indeterminada;1721;1;11;
13;Indeterminada;1722;1;11,7;
13;Indeterminada;1722;2;22;
13;Indeterminada;1724;1;12;
13;Indeterminada;1725;1;11;
13;Indeterminada;1727;1;10,3;
13;Indeterminada;1728;1;12;
13;Indeterminada;1730;1;15;
13;Indeterminada;1731;1;10,3;
13;Tibouchina candoleana;1733;1;15,2;
13;Casearia sylvestris;1734;1;11;
13;Indeterminada;1736;1;10;
13;Eremanthus incanus;1739;1;17,8;
13;Casearia sylvestris;1741;1;15;
13;Casearia sylvestris;1749;1;11,8;
13;Casearia sylvestris;1750;1;13,3;
13;Indeterminada;1751;1;9,9;
13;Casearia sylvestris;1752;1;10,9;
13;Indeterminada;1754;1;9,8;
13;Lauraceae sp. 2;1767;1;15,4;
13;Tibouchina candoleana;1769;1;20,2;
13;Cupania vernalis ;1770;1;12,5;
13;Eremanthus incanus;1779;1;18;
13;Eremanthus incanus;1779;1;17,2;
13;Swartzia apetala;1787;1;11,4;
13;Tibouchina candoleana;1803;1;10,4;
13;Tibouchina candoleana;1803;2;12,6;
13;Anacardiaceae1;1805;1;13,6;
13;M. amazonica;1806;1;13,2;
13;M. amazonica;1806;2;10,3;
13;M. amazonica;1806;3;14,4;
13;M. amazonica;1806;4;16;
13;Tibouchina candoleana;1809;1;21,6;
13;Roupala montana ;1813;1;20,4;
13;Roupala montana ;1813;2;16,3;
13;tachigali rugosa;1817;1;33,5;
13;Roupala montana ;1824;1;31,6;
13;Tibouchina candoleana;1825;1;12,1;
13;Casearia sylvestris;1826;1;12;
13;Casearia sylvestris;1827;1;11,6;
13;Indeterminada 7;1828;1;21,3;
13;Indeterminada;1830;1;30,8;
13;Indeterminada;1830;2;25,4;
13;Casearia sylvestris;1831;1;12,4;
13;Swartzia apetala;1832;1;12;
13;Fabaceae sp.1;1833;1;34;
13;Casearia sylvestris;1834;1;13;
13;Tibouchina candoleana;1836;1;15,5;
13;Swartzia apetala;1847;1;14,8;
13;Tibouchina candoleana;1848;1;11,5;
13;Indeterminada;1849;1;12;
13;Dimorphandra mollis;1850;1;19;
13;Fabaceae sp.1;1853;1;14,9;
13;Fabaceae sp.1;1853;2;18,9;
13;Fabaceae sp.1;1853;3;17;
13;Swartzia apetala;1854;1;12,1;
13;Erythroxylum pelleterianum;1855;1;16,9;
13;Indeterminada;1858;4;27,5;
13;Indeterminada;1858;1;15;
13;Indeterminada;1858;2;17;
13;Indeterminada;1858;3;20;
13;Tibouchina candoleana;1860;1;17,1;
13;Tibouchina candoleana;1860;2;15;
13;Tibouchina candoleana;1860;3;18;
13;Anacardiaceae1;1861;1;18,1;
13;Anacardiaceae1;1861;2;15;
13;Anacardiaceae1;1861;3;10,3;
13;tachigali rugosa;1864;1;16;
13;Tibouchina candoleana;1866;1;13;
13;Fabaceae sp.1;1870;1;15;
13;Indeterminada;1871;1;10;
13;Casearia sylvestris;1873;1;12,2;
13;Indeterminada;1876;1;10,6;
13;Indeterminada;1877;1;9,5;
13;Casearia sylvestris;1879;1;14;
13;Indeterminada;1880;1;9,5;
13;Indeterminada;1881;1;9,6;
13;Indeterminada;1882;1;9,4;
13;Erythroxylum pelleterianum;1885;1;14,8;
13;;1886;1;15,1;
13;Protium heptaphyllum;1891;1;15;
13;Simarouba versicolor;1900;1;15,2;
13;;2001;1;11;
13;Swartzia apetala;2009;1;10,9;
13;indeterminada 3;2010;1;11;
13;indeterminada 3;2010;2;11,4;
13;Tibouchina candoleana;2013;1;19,3;
13;Indeterminada;2015;1;16;
13;Simarouba versicolor;2016;1;16,4;
13;Simarouba versicolor;2016;2;15,9;
13;Xylopia sericea;2017;1;15,4;
14;Indeterminada;129;1;12;
14;Indeterminada;130;1;13;
14;Indeterminada;131;1;14,4;
14;Indeterminada;131;2;16;
14;Indeterminada;132;1;22,2;
14;Indeterminada;133;1;19,4;
14;Indeterminada;134;1;16,9;
14;Indeterminada;134;2;10;
14;Indeterminada;134;3;15,3;
14;Indeterminada;135;1;12;
14;Indeterminada;136;1;23,3;
14;Indeterminada;137;1;16,7;
14;Indeterminada;138;1;14;
14;Indeterminada;139;1;12,1;
14;Indeterminada;140;1;14,2;
14;Indeterminada;141;1;15;
14;Indeterminada;142;1;11,8;
14;Indeterminada;143;1;24;
14;Indeterminada;144;1;15,3;
14;Indeterminada;145;1;10,5;
14;Indeterminada;146;1;15;
14;Indeterminada;147;1;14;
14;Indeterminada;148;1;21,6;
14;Indeterminada;149;1;23;
14;Indeterminada;150;1;11;
14;Indeterminada;151;1;17,5;
14;Indeterminada;152;1;13,3;
14;Indetermida;153;1;25;
14;Indetermida;154;1;18,9;
14;Indetermida;154;2;13,5;
14;Indetermida;155;1;9,9;
14;Indetermida;156;1;26,4;
14;Indetermida;156;2;11,8;
14;Indetermida;156;3;15,5;
14;Indetermida;157;1;13;
14;Indetermida;157;2;10;
14;Indetermida;158;1;19;
14;Indetermida;158;2;23,3;
14;Indetermida;159;1;13,4;
14;Indetermida;160;1;37,8;
14;Indetermida;160;2;28,2;
14;Indetermida;160;3;22;
14;Indetermida;160;4;17;
14;Indetermida;160;5;26;
14;Indetermida;161;1;12,9;
14;Indetermida;162;1;19;
14;Indetermida;163;1;11,3;
14;Indetermida;164;1;13,2;
14;Indetermida;165;1;15,8;
14;Indetermida;165;2;9,2;
14;Indetermida;166;1;18,1;
14;Indetermida;167;1;13,4;
14;Indetermida;168;1;13,8;
14;Indetermida;169;1;11,2;
14;Indetermida;170;1;16,8;
14;Indetermida;171;1;23,8;
14;Roupala montana ;1901;1;11,2;
14;Indeterminada;1902;1;10;
14;Anacardiaceae1;1906;1;13,6;
14;Anacardiaceae1;1906;2;9,4;
14;Indeterminada;1907;1;10,2;
14;Tibouchina candoleana;1912;1;10,7;
14;Tibouchina candoleana;1912;2;12;
14;Erythroxylum pelleterianum;1918;1;10,5;
14;Indeterminada 2;1919;1;17;
14;Indeterminada 2;1920;1;19,5;
14;Indeterminada;1921;1;10,5;
14;Tibouchina candoleana;1922;1;17;
14;Eremanthus incanus;1923;1;14,2;
14;Tibouchina candoleana;1926;1;16,6;
14;Erythroxylum pelleterianum;1927;1;22,3;morta
14;Simarouba versicolor;1928;1;23,3;
14;Simarouba versicolor;1928;2;13,3;
14;Indeterminada;1930;1;16,3;
14;Indeterminada;1938;1;15,2;
14;Erythroxylum pelleterianum;1939;1;16;
14;Erythroxylum pelleterianum;1939;2;16,3;
14;Swartzia apetala;1940;1;18;
14;Swartzia apetala;1940;2;15,8;
14;Eremanthus incanus;1941;1;29,2;
14;Eremanthus incanus;1941;2;28,7;
14;Indeterminada;1942;1;10,6;
14;Tibouchina candoleana;1943;1;16,5;
14;Tibouchina candoleana;1944;1;13,9;
14;Xylopia sericea;1946;1;15,5;
14;Xylopia sericea;1946;2;15;
14;Tibouchina candoleana;1947;1;16,9;
14;Tibouchina candoleana;1947;2;14;
14;Tibouchina candoleana;1947;3;14;
14;Duguetia lanceolata;1948;1;15;
14;Indeterminada;1952;1;10,9;
14;Indeterminada;1953;1;11;
14;Couepia grandiflora;1954;1;10,3;
14;Indeterminada;1955;1;11,5;
14;Tibouchina candoleana;1956;1;16;
14;Tibouchina candoleana;1956;2;12,8;
14;Tibouchina candoleana;1956;3;10;
14;Tibouchina candoleana;1956;4;11,2;
14;Tibouchina candoleana;1956;5;11,1;
14;Tibouchina candoleana;1956;6;19,5;
14;Tibouchina candoleana;1956;7;44,5;
14;Swartzia apetala;1958;1;12,2;
14;Indeterminada 2;1961;1;15,1;
14;Eremanthus incanus;1967;1;17,2;
14;Eremanthus incanus;1967;2;10;
14;Eremanthus incanus;1967;3;12,8;
14;Eremanthus incanus;1967;4;20,2;
14;Lauraceae sp. 2;1969;1;18;
14;Fabaceae sp.1;1970;1;26,3;
14;Tibouchina candoleana;1971;1;14,8;
14;Eremanthus incanus;1980;1;25;
14;Anacardiaceae1;1983;1;16;
14;Anacardiaceae1;1983;2;13,2;
14;Tibouchina candoleana;1984;1;13;
14;Tibouchina candoleana;1984;2;11;
14;Ocotea acyphila;1987;1;19,4;
14;Tibouchina candoleana;1989;1;;morta
